alg,model,split,method,n,topk_hits_mean,topk_precision_mean,mean_signal_rank_mean,mean_noise_rank_mean,auroc_mean
fedfisher_diag,SyntheticMLP,iid,weight_norm,1000,4.298,0.4298,19.9471,53.89476666666667,0.8394766666666666
fedfisher_diag,SyntheticMLP,noniid,ablation_permute_loss,1000,9.786,0.9786,7.06,55.32666666666667,0.9826666666666667
fedfisher_diag,SyntheticMLP,noniid,fisher_weighted,1000,3.143,0.3143,28.431,52.95211111111111,0.7452111111111112
fedfisher_diag,SyntheticMLP,noniid,global_fisher_weighted,1000,3.155,0.3155,28.0676,52.992488888888886,0.7492488888888889
fedfisher_diag,SyntheticMLP,noniid,weight_norm,1000,3.0,0.3,29.9415,52.78427777777778,0.7284277777777778
fedfisher_diag,SyntheticMLPDeep,iid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
fedfisher_diag,SyntheticMLPDeep,iid,fisher_weighted,1000,2.18,0.218,36.0843,52.10174444444444,0.6601744444444444
fedfisher_diag,SyntheticMLPDeep,iid,global_fisher_weighted,1000,1.673,0.1673,40.881,51.568777777777775,0.6068772222222222
fedfisher_diag,SyntheticMLPDeep,iid,weight_norm,1000,2.367,0.2367,34.3323,52.29641111111111,0.6796411111111111
fedfisher_diag,SyntheticMLPDeep,noniid,ablation_permute_loss,1000,9.649,0.9649,8.089,55.21233333333333,0.9712333333333333
fedfisher_diag,SyntheticMLPDeep,noniid,fisher_weighted,1000,1.796,0.1796,39.6565,51.70483333333333,0.6204833333333334
fedfisher_diag,SyntheticMLPDeep,noniid,global_fisher_weighted,1000,2.297,0.22970000000000002,35.4431,52.17298888888889,0.6672988888888889
fedfisher_diag,SyntheticMLPDeep,noniid,weight_norm,1000,1.841,0.1841,40.1344,51.65173333333333,0.6151733333333333
fedfisher_kfac,SyntheticMLP,iid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
fedfisher_kfac,SyntheticMLP,iid,fisher_weighted,1000,5.491,0.5491,14.8742,54.458422222222225,0.8958422222222222
fedfisher_kfac,SyntheticMLP,iid,global_fisher_weighted,1000,4.949,0.4949,17.1686,54.20348888888889,0.8703488888888888
fedfisher_kfac,SyntheticMLP,iid,weight_norm,1000,4.614,0.4614,18.5774,54.046955555555556,0.8546955555555555
fedfisher_kfac,SyntheticMLP,noniid,ablation_permute_loss,1000,9.896,0.9896,6.1955,55.42272222222222,0.9922722222222222
fedfisher_kfac,SyntheticMLP,noniid,fisher_weighted,1000,4.352,0.4352,22.2692,53.63675555555555,0.8136755555555556
fedfisher_kfac,SyntheticMLP,noniid,global_fisher_weighted,1000,4.784,0.4784,19.8373,53.90696666666667,0.8406966666666666
fedfisher_kfac,SyntheticMLP,noniid,weight_norm,1000,4.057,0.4057,24.1668,53.42591111111111,0.7925911111111111
fedfisher_kfac,SyntheticMLPDeep,iid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
fedfisher_kfac,SyntheticMLPDeep,iid,fisher_weighted,1000,2.26,0.226,35.3213,52.18652222222222,0.6686522222222222
fedfisher_kfac,SyntheticMLPDeep,iid,global_fisher_weighted,1000,1.699,0.1699,41.1485,51.53905555555556,0.6039055555555556
fedfisher_kfac,SyntheticMLPDeep,iid,weight_norm,1000,2.401,0.2401,33.6471,52.37254444444444,0.6872544444444444
fedfisher_kfac,SyntheticMLPDeep,noniid,ablation_permute_loss,1000,9.743,0.9743,7.4177,55.28692222222222,0.9786922222222222
fedfisher_kfac,SyntheticMLPDeep,noniid,fisher_weighted,1000,2.089,0.2089,37.41,51.95444444444444,0.6454444444444445
fedfisher_kfac,SyntheticMLPDeep,noniid,global_fisher_weighted,1000,2.535,0.2535,33.4171,52.3981,0.68981
fedfisher_kfac,SyntheticMLPDeep,noniid,weight_norm,1000,2.11,0.211,37.8281,51.90798888888889,0.6407988888888889
pooled,SyntheticMLP,iid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
pooled,SyntheticMLP,iid,global_fisher_weighted,1000,2.208,0.2208,34.9744,52.22506666666666,0.6725066666666667
pooled,SyntheticMLP,iid,weight_norm,1000,2.577,0.2577,32.5333,52.4963,0.6996294444444444
pooled,SyntheticMLP,noniid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
pooled,SyntheticMLP,noniid,global_fisher_weighted,1000,2.232,0.2232,35.0718,52.21424444444445,0.6714244444444445
pooled,SyntheticMLP,noniid,weight_norm,1000,2.572,0.2572,32.469,52.50344444444445,0.7003444444444444
pooled,SyntheticMLPDeep,iid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
pooled,SyntheticMLPDeep,iid,global_fisher_weighted,1000,1.814,0.1814,38.1323,51.87418888888889,0.6374188888888889
pooled,SyntheticMLPDeep,iid,weight_norm,1000,2.896,0.2896,29.4409,52.8399,0.73399
pooled,SyntheticMLPDeep,noniid,ablation_permute_loss,1000,10.0,1.0,5.5,55.5,1.0
pooled,SyntheticMLPDeep,noniid,global_fisher_weighted,1000,1.834,0.1834,37.9998,51.88891111111111,0.6388911111111111
pooled,SyntheticMLPDeep,noniid,weight_norm,1000,2.927,0.2927,29.0845,52.8795,0.73795
